,x,y
0,8.65792178646517,-0.12730241745377124
1,14.69982190448052,0.1496049729383423
2,24.426234531885026,0.41032600702806954
3,31.74696203182609,0.8165127535024221
4,36.81298491439087,0.4912375109038696
5,43.26674125093048,0.05076053318020688
6,51.43794931575479,-0.48842389057525754
7,56.999626933761114,-1.369524425391535
8,61.559945413888705,-2.3584074130131243
9,68.50993434149005,-3.970377449785942
10,75.17094065170505,-5.236806580415472
11,82.82825663640051,-6.839755900518386
12,91.12260325509624,-8.580623445651788
13,97.03330890597167,-9.722377048559082
14,108.5116852532677,-13.18510273296996
15,116.81473178352384,-15.813453656904985
16,121.14796775314719,-16.59185125675791
17,132.5600414900732,-17.45233844393293
18,143.4962365608804,-17.921549865083353
19,154.77741580593428,-18.594849893564824
20,164.8468461568878,-19.173881124783275
21,175.3528045002923,-20.02142909813077
22,185.8228697708288,-20.92897979192395
23,194.0724028315489,-21.657407485205553
24,201.8195719935821,-22.42119993766268
25,211.48851701114646,-23.6276834796195
26,220.57121476841235,-24.693762065500806
27,229.8592596474986,-25.648141047336928
28,241.76542879784026,-26.45893254396786
29,249.54096854226285,-26.843396895020316
30,253.74045192554183,-26.453217524614995
31,263.9986924819938,-25.725866844805797
32,274.76288678211193,-26.05301604723009
33,281.22107480381834,-26.42120254851297
34,286.83799861037494,-26.685593687248574
35,297.27295058064254,-26.4321623177178
36,302.71305972628136,-26.692188000965196
37,312.8347989694559,-27.042019929496682
38,321.81200518298465,-27.24164126440592
39,333.6228674734106,-26.413986609608607
40,342.8433165816107,-25.41469561405765
41,347.2600318584344,-25.086970044655747
42,352.98981517217436,-24.19723255730656
43,358.68612467466374,-23.422941170780597
44,366.0304134432461,-22.544148878260923
45,371.2725569939009,-21.26527253988017
46,381.2158945280866,-18.792764753592582
47,387.50838700142947,-16.73545252389196
48,395.82402697943246,-13.851926893794007
49,402.287755534318,-11.252595568649786
50,408.7926068542774,-8.969359952022105
51,413.8191495022105,-7.501126967982445
52,418.7486605099085,-5.666340000140482
53,426.74604932753294,-2.654713248572842
54,432.3508942595321,-0.7802846474002809
55,443.4517854545315,3.565749015881613
56,449.47644957196394,5.881434104681472
57,460.173187124745,8.677511955971703
58,470.31787534427576,11.417382368191797
59,477.93865447527816,13.48563874105965
60,483.9786969285933,15.373261264120657
61,493.26822344056797,17.785395201056875
62,498.9671019442278,19.1829013574756
63,509.1984474148986,22.434489103197063
64,515.185499897482,23.751191251779574
65,521.7635547658099,25.06949913438222
66,527.2849232003063,26.150293192944385
67,535.3854975995974,27.714889023668036
68,543.4661280953521,29.26206621952138
69,548.5446267164642,30.213961640221747
70,559.4828035306634,33.19284478760156
71,568.3350255744707,35.94553099464828
72,577.6842512774948,39.320426843971156
73,584.8027728165777,41.92305556547597
74,589.6498472472739,43.58917761818655
75,598.3393312565269,46.434754606222604
76,604.3347334601826,47.87025358489249
77,609.3833069852993,48.88661917663199
78,614.2912500137722,49.2379698175146
79,623.6503319227103,50.32437263005337
80,632.8504120325063,51.12260560765414
81,639.5295375375788,51.62477805465472
82,646.4035175233603,52.437488484251006
83,654.6740342780711,53.42130110534888
84,660.1838208938364,54.70064049015082
85,667.4890717902134,56.649404465020844
86,677.0828643821714,59.66414649490229
87,684.292879316855,61.91445102236342
88,694.7721641084264,66.23578244073228
89,705.8268440151404,70.67774779950932
90,715.3068510676153,74.00125734040718
91,726.2270824371168,77.8104808725355
92,733.4755121972557,80.4372199907612
93,740.1818841973856,82.79891445840134
94,744.2805964810846,83.48968593330963
95,751.4601035329182,84.73135504118078
96,756.9002974677367,85.46246925368294
97,763.9280034117413,86.18712547057886
98,771.7930062553405,86.87530016045547
99,782.7683430518741,87.52349190618591
